2003	143683
2005	101575
2006	111434
2007	126030
2009	136725
2011	145254
2012	134271
2014	123590
2015	102117
2016	101898
2017	107768
2018	134576
2019	144144
2020	114706
2021	111411
2022	101587
2023	100809
2024	142810
2025	100045
2026	101588
2026	150860
2027	103843
2028	141286
2029	137274
2030	114612
2031	111253
2032	163160
2033	125914
2034	132218
2035	150299
2037	150298
2038	113658
2038	167792
2039	173822
2041	106197
2042	170435
2043	130015
2043	171560
2044	103080
2045	179649
2046	136725
2047	148221
2048	148221
2049	136531
2050	107990
2051	101901
2052	120430
2053	107328
2054	130298
2055	119888
2055	172086
2056	127539
2058	110278
2060	112063
2061	113164
2062	144074
2063	169760
2065	100342
2066	124225
2067	108165
2068	124885
2070	171878
2071	111761
2071	172018
2072	164953
2073	147021
2074	101819
2075	132531
2076	144651
2077	134493
2078	121167
2079	149026
2082	145091
2083	161107
2085	125399
2086	100810
2087	173973
2089	100148
2091	178210
2092	130772
2093	133139
2094	130493
2095	163563
2098	119355
2100	169622
2101	190499
2103	134937
2104	104315
2105	111028
2106	106316
2107	179287
2110	102979
2111	188244
2112	120107
2115	123591
2116	120105
2117	127603
2119	104616
2120	100183
2123	100183
2124	190129
2125	186760
2126	114239
2129	140814
2130	130488
2131	143278
2134	178090
2136	179010
2137	188285
2141	149679
2144	106766
2145	166236
2151	143278
2153	168296
2158	190515
2159	175142
2160	186723
2161	187205
2162	128534
2163	127203
2164	140170
2166	189935
2167	188434
2168	187926
2169	189934
2171	121549
2173	163557
2175	171458
2176	163557
2181	163563
