1978	181819	"Braga, Maria do Rosario de Almeida"	"Maria Mercedes Teixeira da Rosa"	"Maria "	"Rosa"
1229	120151	"Bray, Rebecca D."	"Rebecca Bray"	"Rebecca "	"Bray"
1990	126969	"Brown, Larry E."	"Larry E. Brown"	"Larry "	"Brown"
1105	150567	"Brunsfeld, Steven J."	"Steven J. Brunsfeld"	"Steven "	"Brunsfeld"
1206	135287	"Bryson, Charles T."	"Charles T. Bryson"	"Charles "	"Bryson"
1849	182148	"Bukry, John David"	"John C. David"	"John "	"David"
1163	147427	"Bullock-Webster, George Russell"	"George Russell"	"George "	"Russell"
1332	182700	"Burdsall, Harold H."	"Harold Burdsall"	"Harold "	"Burdsall"
1332	105681	"Burdsall, Jr., Harold H."	"Harold Burdsall"	"Harold "	"Burdsall"
2106	191067	"Burt-Utley, Kathleen & Utley, John F."	"John F. Utley"	"John "	"Utley"
1648	121649	"Campbell, Christopher S."	"Christopher S. Campbell"	"Christopher "	"Campbell"
1648	187390	"Campbell, Christopher S., Eastman, L. M. & White, D."	"Christopher S. Campbell"	"Christopher "	"Campbell"
1969	121167	"Cantino, Philip Douglas"	"Philip D. Cantino"	"Philip "	"Cantino"
1479	117507	"Cantrell, Sharon A."	"Sharon A. Cantrell"	"Sharon "	"Cantrell"
1050	167662	"Caplow, Florence E."	"Florence Caplow"	"Florence "	"Caplow"
1840	109226	"Carauta, Jorge Pedro Pereira"	"Jorge Fontella Pereira"	"Jorge "	"Pereira"
1460	118522	"Carr, Gerald D."	"Gerald D. Carr"	"Gerald "	"Carr"
655220	145625	"Carrasco, María A."	"María Carrasco"	"María "	"Carrasco"
1732	108350	"Catling, Paul Miles"	"Paul M. Catling"	"Paul "	"Catling"
1354	140043	"Cavalcanti, Taciana Barbosa"	"Taciana B. Cavalcanti"	"Taciana "	"Cavalcanti"
582816	180288	"Chamberlain, David Franklin"	"David Chamberlain"	"David "	"Chamberlain"
1321	112619	"Cholewa, Anita F."	"Anita F. Cholewa"	"Anita "	"Cholewa"
1650	144630	"Chuey, Carl F."	"Carl F. Chuey"	"Carl "	"Chuey"
1891	113856	"Clarkson, John Richard"	"John Richard Clarkson"	"John "	"Clarkson"
1699	120553	"Clayden, Stephen R."	"Stephen R. Clayden"	"Stephen "	"Clayden"
1762	119966	"Collins, Beverly S."	"Beverly S. Collins"	"Beverly "	"Collins"
1137	131904	"Conant, David S."	"David S. Conant"	"David "	"Conant"
1609	128390	"Connors, John R."	"John R. Connors"	"John "	"Connors"
1731	142311	"Cooper, George Proctor"	"George R. Proctor"	"George "	"Proctor"
1116	177649	"Cooperrider, Tom Smith"	"Tom S. Cooperrider"	"Tom "	"Cooperrider"
2156	115526	"Crankshaw, William B."	"William B. Crankshaw"	"William "	"Crankshaw"
2027	127633	"Cristobal, Carmen Lelia"	"Carmen L. Cristobal"	"Carmen "	"Cristobal"
1161	112562	"Croft, James R."	"James R. Croft"	"James "	"Croft"
1944	162558	"Cros, Rosa M."	"Rosa M. Cros"	"Rosa "	"Cros"
1709	101186	"Crow, Garrett Eugene"	"Garrett E. Crow"	"Garrett "	"Crow"
1398	134928	"Culberson, William Louis"	"William L. Culberson"	"William "	"Culberson"
1339	171963	"Currah, Randolph S."	"Randolph Currah"	"Randolph "	"Currah"
1199	115639	"Daily, William Allen"	"William A. Daily"	"William "	"Daily"
436422	133939	"Daniel, Thomas Franklin"	"Thomas Daniel"	"Thomas "	"Daniel"
1849	168363	"David, John Charles"	"John C. David"	"John "	"David"
562821	191012	"Davidse, Gerrit, Soreng, Robert J. & Peterson, Paul M."	"Paul M. Peterson"	"Paul "	"Peterson"
1849	164171	"Davidson, John Fraser"	"John C. David"	"John "	"David"
1849	166108	"Davidson, John G. N."	"John C. David"	"John "	"David"
2046	136792	"Davis, William B."	"William S. Davis"	"William "	"Davis"
2046	163884	"Davis, William Harold"	"William S. Davis"	"William "	"Davis"
2046	114027	"Davis, William Harper"	"William S. Davis"	"William "	"Davis"
